destCountry;website;PacketLoss;minASPath;maxASPath;minCountryPath;maxCountryPath
Tanzania;sua.ac.tz;0.0;[37126, 36930];[37126, 36930];['Tanzania'];['Tanzania']
Tanzania;udsm.ac.tz;0.0;[37126, 37182, 22354];[37126, 37182, 22354];['Tanzania'];['Tanzania']
Tanzania;aru.ac.tz;100.0;[327859, 327795];[327859, 327795];['Tanzania'];['Tanzania']
Namibia;www.nust.na;0.0;[37126, 37662, 33763, 37513];[37126, 37662, 33763, 37513];['Tanzania', 'Kenya', 'South Africa', 'Namibia'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'South Africa', 'Namibia']
Namibia;unam.edu.na;100.0;[327859, 37100, 36996];[327859, 37100, 36996];['Tanzania', 'Kenya', 'South Africa', 'Namibia'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'South Africa', 'Namibia']
Namibia;ium.edu.na;0.0;[327844, 30844, 36996];[327844, 30844, 36996];['Tanzania', 'Kenya', 'South Africa', 'Namibia'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'South Africa', 'Namibia']
Senegal;www.ucad.sn;0.0;[37126, 37662, 37613, 37649];[327844, 30844, 3491, 37613, 6758, 37649];['Tanzania', 'Kenya', 'Ghana', 'Senegal'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'United Kingdom', 'Ghana', 'Monaco', 'Senegal']
Senegal;ugb.sn;0.0;[327859, 37100, 6762, 8346];[327859, 37100, 6762, 8346];['Tanzania', 'Kenya', 'France', 'Senegal'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'France', 'Italy', 'Senegal']
Senegal;uadb.edu.sn;77.78;[327859, 37100, 6762, 8346];[327859, 37100, 6762, 8346];['Tanzania', 'Kenya', 'France', 'Senegal'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'France', 'Italy', 'Senegal']
South Africa;www.sun.ac.za;100.0;[327859, 37100, 2018];[37126, 37662, 6939, 3491, 2018];['Tanzania', 'Mauritius', 'South Africa'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'South Africa']
South Africa;wits.ac.za;100.0;[327859, 37100, 2018];[37126, 37662, 6939, 3491, 2018];['Tanzania', 'Mauritius', 'Kenya', 'South Africa'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'South Africa']
South Africa;uct.ac.za;100.0;[327859, 37100, 2018];[37126, 37662, 3491, 2018];['Tanzania', 'Mauritius', 'Kenya', 'South Africa'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'South Africa']
Morocco;uca.ma;100.0;[327859, 37100, 6762, 36884];[37126, 37662, 6939, 6762, 36884];['Tanzania', 'Kenya', 'United States', 'Italy', 'Morocco'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'France', 'Italy', 'Morocco']
Morocco;univh2c.ma;100.0;[327844, 30844, 6762, 30983];[37126, 37662, 6939, 6762, 36884, 30983];['Tanzania', 'Kenya', 'United States', 'Italy', 'Morocco'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'France', 'Italy', 'Morocco']
Morocco;www.ump.ma;100.0;[327859, 37100, 6762, 36884, 6713];[37126, 37662, 6939, 6762, 36884, 6713];['Tanzania', 'Kenya', 'United States', 'Italy', 'Morocco'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'France', 'Italy', 'Morocco']
Cameroon;www.univ-ndere.cm;0.0;[327844, 30844, 6453, 15964];[37126, 37662, 6939, 12956, 15964];['Tanzania', 'Kenya', 'United States', 'Spain', 'Cameroon'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'France', 'Canada', 'Spain', 'Italy', 'Canada', 'Cameroon']
Cameroon;uy1.uninet.cm;0.0;[37126, 37662, 15964];[327844, 30844, 3491, 37662, 15964];['Tanzania', 'Kenya', 'Cameroon'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'South Africa', 'Kenya', 'South Africa', 'Cameroon']
Cameroon;www.univ-maroua.cm;100.0;[327859, 37100, 16637, 30992];[37126, 37662, 6939, 16637, 30992];['Tanzania', 'Kenya', 'United States', 'South Africa', 'Cameroon'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'South Africa', 'Mauritius', 'South Africa', 'Cameroon']
Malawi;unima.ac.mw;100.0;[327844, 30844, 37187, 36944, 37215];[37126, 37662, 5511, 174, 37187, 36944, 37215];['Tanzania', 'Mauritius', 'United Kingdom', 'Malawi'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'United States', 'France', 'United States', 'Malawi']
Malawi;mzuni.ac.mw;100.0;[327844, 30844, 36944];[37126, 37662, 6939, 3491, 36944, 37215];['Tanzania', 'Kenya', 'United Kingdom', 'Malawi'];['Tanzania', 'Kenya', 'Mauritius', 'Tanzania', 'Mauritius', 'United States', 'France', 'Malawi']
