site,IP,country,asn
uct.ac.za,137.158.159.192,South Africa,36982
wits.ac.za,146.141.13.50,South Africa,2018
www.sun.ac.za,146.232.21.213,South Africa,2018
unam.edu.na,41.205.129.157,Namibia,36996
ium.edu.na,196.44.136.114,Namibia,36996
www.nust.na,196.216.167.98,Namibia,37513
mzuni.ac.mw,41.70.100.1,Malawi,37215
unima.ac.mw,41.70.32.5,Malawi,37215
udsm.ac.tz,196.44.161.196,Tanzania,22354
aru.ac.tz,196.192.79.16,Tanzania,327795
sua.ac.tz,41.73.194.141,Tanzania,36930
univh2c.ma,196.200.165.26,Morocco,30983
uca.ma,196.200.178.31,Morocco,30983
www.ump.ma,196.200.156.12,Morocco,30983
www.univ-ndere.cm,192.145.186.133,Cameroon,15964
www.univ-maroua.cm,154.70.118.85,Cameroon,30992
uy1.uninet.cm,41.204.87.51,Cameroon,15964
www.ucad.sn,154.65.39.1,Senegal,37649
ugb.sn,196.1.99.10,Senegal,8346
uadb.edu.sn,41.214.72.54,Senegal,8346
